Date,High,Low,Open,Close,Volume,Adj Close,MTD-15ma,MTD-50ma,MTD-100ma,MTD-200ma
2000-05-01,35.0,30.0,35.0,34.8125,800200,34.8125,40.38333333333333,39.73875,38.056475903614455,38.056475903614455
2000-05-02,34.6875,33.75,34.6875,34.0,222200,34.0,39.97083333333333,39.68875,38.008184523809526,38.008184523809526
2000-05-03,36.75,35.0,35.25,35.5625,237900,35.5625,39.675,39.675,37.97941176470588,37.97941176470588
2000-05-04,36.375,35.125,36.25,35.3125,93100,35.3125,39.34166666666667,39.6425,37.948401162790695,37.948401162790695
2000-05-05,36.3125,35.0,36.0,35.9375,163400,35.9375,39.00833333333333,39.625,37.92528735632184,37.92528735632184
2000-05-08,36.0,34.125,36.0,34.1875,119100,34.1875,38.704166666666666,39.56875,37.8828125,37.8828125
2000-05-09,34.5625,33.0,34.4375,33.375,91200,33.375,38.2375,39.4625,37.83216292134831,37.83216292134831
2000-05-10,35.9375,33.625,33.625,35.3125,68000,35.3125,37.74583333333333,39.39625,37.80416666666667,37.80416666666667
2000-05-11,40.125,35.0,35.3125,39.9375,193100,39.9375,37.45,39.42625,37.82760989010989,37.82760989010989
2000-05-12,40.75,37.5,39.6875,37.9375,263100,37.9375,37.045833333333334,39.43875,37.828804347826086,37.828804347826086
2000-05-15,38.1875,36.25,38.1875,36.9375,141800,36.9375,36.958333333333336,39.43125,37.81922043010753,37.81922043010753
2000-05-16,38.75,36.75,37.0,38.625,84000,38.625,36.6125,39.46625,37.827792553191486,37.827792553191486
2000-05-17,38.5,36.625,38.5,36.625,54100,36.625,36.270833333333336,39.42875,37.815131578947366,37.815131578947366
2000-05-18,37.375,36.1875,36.875,36.4375,92700,36.4375,35.96666666666667,39.4075,37.80078125,37.80078125
2000-05-19,35.75,34.5,35.75,34.9375,98000,34.9375,35.99583333333333,39.36625,37.77126288659794,37.77126288659794
2000-05-22,35.4375,33.0625,35.4375,34.4375,217000,34.4375,35.97083333333333,39.305,37.73724489795919,37.73724489795919
2000-05-23,36.125,34.25,34.25,35.5,152800,35.5,36.07083333333333,39.25125,37.714646464646464,37.714646464646464
2000-05-24,37.4375,35.5,35.5,37.3125,110400,37.3125,36.1875,39.22875,37.710625,37.710625
2000-05-25,40.0,37.3125,37.3125,38.5625,421200,38.5625,36.40416666666667,39.215,37.7425,37.71905940594059
2000-05-26,38.625,37.0,38.625,37.0,70700,37.0,36.475,39.1025,37.76625,37.71200980392157
2000-05-30,38.4375,37.1875,37.1875,38.4375,82100,38.4375,36.75833333333333,39.0225,37.811875,37.71905339805825
2000-05-31,39.625,38.3125,38.3125,39.1875,68500,39.1875,37.145833333333336,38.94875,37.8575,37.73317307692308
2000-06-01,40.4375,39.0625,39.0625,39.9375,57100,39.9375,37.454166666666666,38.88875,37.900625,37.75416666666667
2000-06-02,41.0,40.1875,40.375,40.375,48900,40.375,37.483333333333334,38.80625,37.931875,37.77889150943396
2000-06-05,40.1875,39.25,40.1875,39.75,42800,39.75,37.604166666666664,38.72,37.96875,37.79731308411215
2000-06-06,41.0,39.5,39.5,40.3125,50700,40.3125,37.829166666666666,38.6925,38.013125,37.820601851851855
2000-06-07,41.0,40.4375,40.4375,41.0,57300,41.0,37.9875,38.70125,38.064375,37.84977064220183
2000-06-08,42.8125,40.625,40.75,42.0625,86000,42.0625,38.35,38.7525,38.13,37.888068181818184
2000-06-09,42.0625,41.5,42.0625,41.8125,31400,41.8125,38.708333333333336,38.77875,38.196875,37.92342342342342
2000-06-12,43.0,41.1875,41.6875,42.3125,54200,42.3125,39.2,38.815,38.266875,37.962611607142854
2000-06-13,43.9375,42.0625,42.3125,43.9375,75100,43.9375,39.833333333333336,38.875,38.3575,38.01548672566372
2000-06-14,43.8125,39.3125,43.6875,39.3125,420700,39.3125,40.0875,38.8575,38.401875,38.02686403508772
2000-06-15,39.5,38.5,39.5,38.5625,116400,38.5625,40.170833333333334,38.82875,38.44125,38.03152173913043
2000-06-16,38.75,36.6875,38.5625,37.25,156000,37.25,40.083333333333336,38.77125,38.471875,38.02478448275862
2000-06-19,37.4375,36.25,37.4375,36.4375,80900,36.4375,40.045833333333334,38.69875,38.496875,38.01121794871795
2000-06-20,37.8125,35.875,36.5625,37.5,502500,37.5,39.983333333333334,38.6375,38.54,38.00688559322034
2000-06-21,38.6875,37.375,37.75,37.9375,121700,37.9375,39.9,38.5925,38.59625,38.0063025210084
2000-06-22,39.4375,38.125,38.5,38.1875,151100,38.1875,39.78333333333333,38.55625,38.659375,38.0078125
2000-06-23,38.5625,37.5,38.3125,37.6875,55400,37.6875,39.604166666666664,38.50375,38.71625,38.0051652892562
2000-06-26,39.625,37.5625,37.5625,39.5625,90900,39.5625,39.59166666666667,38.47625,38.788125,38.017930327868854
2000-06-27,40.375,39.375,39.375,39.5,186600,39.5,39.5375,38.49125,38.833125,38.02997967479675
2000-06-28,40.0,39.4375,39.4375,40.0,126400,40.0,39.47083333333333,38.48375,38.854375,38.04586693548387
2000-06-29,40.0,39.375,40.0,39.5625,71500,39.5625,39.30416666666667,38.42125,38.87,38.058
2000-06-30,40.015625,39.625,39.8125,40.015625,197000,40.015625,39.184375,38.3340625,38.89640625,38.07353670634921
2000-07-03,40.0,38.8125,40.0,38.8125,12000,38.8125,38.95104166666667,38.2303125,38.91390625,38.07935531496063
2000-07-05,39.4375,37.75,38.8125,37.75,148400,37.75,38.53854166666667,38.2203125,38.91765625,38.0767822265625
2000-07-06,39.0625,37.875,38.0,39.0625,63000,39.0625,38.521875,38.1253125,38.93515625,38.0844234496124
2000-07-07,39.875,38.875,38.875,39.875,34100,39.875,38.609375,38.0878125,38.95515625,38.098197115384615
2000-07-10,42.0,39.5625,39.875,40.9375,101100,40.9375,38.85520833333333,38.0865625,38.98265625,38.11987118320611
2000-07-11,42.25,40.8125,40.9375,42.0625,102900,42.0625,39.23020833333333,38.2378125,39.01953125,38.149739583333336
2000-07-12,44.4375,42.3125,42.3125,43.3125,320000,43.3125,39.61770833333333,38.4078125,39.07328125,38.18855733082707
2000-07-13,43.125,41.75,43.125,42.5625,67100,42.5625,39.92604166666667,38.5790625,39.13390625,38.22119869402985
2000-07-14,42.75,41.9375,42.75,42.25,299800,42.25,40.196875,38.7128125,39.19390625,38.251041666666666
2000-07-17,42.25,41.5,42.25,41.5,67800,41.5,40.45104166666667,38.8365625,39.23953125,38.27493106617647
2000-07-18,41.875,40.75,41.875,40.75,53600,40.75,40.530208333333334,38.9328125,39.27890625,38.292997262773724
2000-07-19,40.8125,38.875,40.8125,39.25,52600,39.25,40.51354166666667,39.0340625,39.30140625,38.29993206521739
2000-07-20,41.75,39.4375,39.4375,41.0,197800,41.0,40.58020833333333,39.1865625,39.32453125,38.31935701438849
