Date,High,Low,Open,Close,Volume,Adj Close,GD-15ma,GD-50ma,GD-100ma,GD-200ma
2000-08-03,29.9375,29.25,29.46875,29.78125,1178400.0,20.23076629638672,19.31369972229004,18.80984233856201,18.248821516036987,17.298599902415436
2000-08-04,31.0,29.875,29.9375,30.5625,1900800.0,20.76148796081543,19.48352813720703,18.83088218688965,18.321493740081788,17.32168582280477
2000-08-07,31.09375,30.625,30.75,30.90625,1225000.0,20.994993209838867,19.651940663655598,18.86461959838867,18.38557101249695,17.34601236179175
2000-08-08,31.21875,30.53125,30.78125,31.1875,1828400.0,21.186044692993164,19.862809880574545,18.906825294494627,18.445673522949217,17.37127573239176
2000-08-09,31.46875,31.0,31.0625,31.46875,1558000.0,21.377105712890625,20.062357711791993,18.941445083618163,18.505584688186644,17.397457627689136
2000-08-10,31.46875,31.15625,31.46875,31.21875,819600.0,21.207273483276367,20.165668614705403,18.966330642700196,18.56274655342102,17.422196691686455
2000-08-11,31.21875,30.5,31.21875,30.78125,893200.0,20.910085678100586,20.247752507527668,18.976399993896486,18.61546525001526,17.444699201276226
2000-08-14,30.8125,30.3125,30.65625,30.65625,658800.0,20.825170516967773,20.29445521036784,18.996601066589356,18.669226484298704,17.466368889197327
2000-08-15,31.09375,30.5,30.71875,30.625,811800.0,20.80394172668457,20.352480061848958,19.02482738494873,18.72109393119812,17.487627314913805
2000-08-16,30.65625,30.03125,30.28125,30.5625,1085200.0,20.76148796081543,20.450131352742513,19.048824729919435,18.766441316604613,17.508347951913183
2000-08-17,30.75,30.375,30.5625,30.5625,496600.0,20.76148796081543,20.539290873209634,19.075779571533204,18.813260011672973,17.52880795196917
2000-08-18,30.71875,30.28125,30.53125,30.34375,551800.0,20.612884521484375,20.628450266520183,19.113282165527345,18.860904750823973,17.548083430528642
2000-08-21,31.125,30.3125,30.34375,31.03125,666800.0,21.079912185668945,20.75582135518392,19.161815338134765,18.9134299659729,17.57002025509473
2000-08-22,32.1875,30.96875,31.0,31.96875,1061800.0,21.71677017211914,20.877532068888346,19.223085670471193,18.96811996459961,17.595617476804758
2000-08-23,32.3125,31.6875,31.875,32.0625,1299800.0,21.78044891357422,21.00065739949544,19.2928120803833,19.018612422943114,17.621291289300274
2000-08-24,32.125,31.5625,32.0625,31.71875,627800.0,21.546932220458984,21.088401794433594,19.349418334960937,19.06298616409302,17.645228124246366
2000-08-25,32.09375,31.71875,31.71875,32.0625,1011200.0,21.78044891357422,21.156332524617515,19.404779739379883,19.10612184524536,17.67029006842411
2000-08-28,32.0625,31.4375,32.0625,31.75,1391400.0,21.568166732788086,21.194544092814127,19.464134292602537,19.149847106933592,17.693771253149194
2000-08-29,31.96875,31.53125,31.8125,31.78125,865200.0,21.589397430419922,21.221434275309246,19.532574577331545,19.192939682006838,17.717098356007103
2000-08-30,32.40625,31.75,31.75,31.90625,1555600.0,21.6743106842041,21.241247940063477,19.601023139953615,19.2381489944458,17.74065319129399
2000-08-31,32.125,31.4375,31.9375,31.46875,1024000.0,21.377105712890625,21.252570088704427,19.669442558288573,19.28038625717163,17.76217066183598
2000-09-01,32.0,31.1875,31.1875,31.4375,1216800.0,21.355886459350586,21.28229014078776,19.741240196228027,19.32093252182007,17.783310166527244
2000-09-05,31.125,30.375,31.0,30.8125,1788800.0,20.931306838989258,21.289365895589192,19.79356117248535,19.35343048095703,17.8017195037931
2000-09-06,31.65625,30.1875,30.1875,31.3125,1246600.0,21.270963668823242,21.32050069173177,19.853097877502442,19.387846240997316,17.821889528008395
2000-09-07,32.0625,31.4375,31.4375,31.8125,1418800.0,21.610626220703125,21.377109909057616,19.91731544494629,19.430306148529052,17.843789740104896
2000-09-08,31.875,31.03125,31.78125,31.625,1177800.0,21.483251571655273,21.425227483113606,19.985428428649904,19.47466100692749,17.864706187412658
2000-09-11,32.34375,31.34375,31.34375,32.28125,1150800.0,21.929054260253906,21.512972132364908,20.06699935913086,19.524107666015624,17.88793103354318
2000-09-12,32.21875,31.59375,32.125,32.1875,922800.0,21.865365982055664,21.56533571879069,20.151098976135255,19.567002601623535,17.910530095750634
2000-09-13,32.28125,31.78125,32.0625,32.0,1222600.0,21.737991333007812,21.566750462849935,20.231383628845215,19.603342475891115,17.932154170537398
2000-09-14,32.0625,31.375,31.875,31.65625,1228000.0,21.504486083984375,21.54835294087728,20.306575736999513,19.622348613739014,17.952223450950022
2000-09-15,32.0,31.03125,31.71875,31.03125,1508000.0,21.079912185668945,21.517218271891277,20.375388679504393,19.632672843933104,17.96969657237303
2000-09-18,31.6875,31.0,31.125,31.40625,1471000.0,21.334651947021484,21.487498474121093,20.446761627197265,19.653783130645753,17.988390768898856
2000-09-19,32.0,31.21875,31.40625,31.25,1287600.0,21.228513717651367,21.464854939778647,20.51558925628662,19.665382080078125,18.006292000659922
2000-09-20,31.78125,30.96875,31.03125,31.21875,938800.0,21.207273483276367,21.439380009969074,20.579767303466795,19.679726161956786,18.02387981100397
2000-09-21,32.0625,31.125,31.125,31.46875,1219800.0,21.377105712890625,21.419566345214843,20.641754302978516,19.694289798736573,18.042203449812092
2000-09-22,31.96875,31.3125,31.5,31.90625,1235800.0,21.6743106842041,21.439380009969074,20.712233047485352,19.717740325927736,18.061943163042482
2000-09-25,32.46875,31.34375,31.34375,31.625,2664400.0,21.483251571655273,21.447871017456055,20.777616844177246,19.743927822113037,18.080436722007956
2000-09-26,31.5,31.0625,31.5,31.0625,13580400.0,21.10113525390625,21.459192911783855,20.830263442993164,19.76629415512085,18.09667703669558
2000-09-27,31.3125,31.0625,31.28125,31.0625,2574000.0,21.10113525390625,21.447871017456055,20.89182601928711,19.78464677810669,18.112743658177994
2000-09-28,32.0,31.15625,31.21875,32.0,2315400.0,21.737991333007812,21.456362024943033,20.958908081054688,19.812536697387696,18.132026890490916
2000-09-29,31.96875,31.0,31.65625,31.40625,3475400.0,21.334651947021484,21.44645538330078,20.992448921203614,19.831534461975096,18.148971996610126
2000-10-02,31.59375,30.8125,31.46875,31.375,1954400.0,21.313425064086914,21.40541343688965,21.02514087677002,19.856234912872313,18.16562701275474
2000-10-03,31.84375,31.15625,31.28125,31.28125,2648800.0,21.249727249145508,21.36437085469564,21.047642822265626,19.87776351928711,18.18177413441124
2000-10-04,31.5,30.9375,30.96875,31.0,2668000.0,21.14655876159668,21.32494201660156,21.071902618408203,19.898471508026123,18.197215721011162
